year,ISO3,ADM0_FR,ADM0_PCODE,ADM1_FR,ADM1_PCODE,ADM2_FR,ADM2_PCODE,F_TL,M_TL,T_TL,F_00_04,F_05_09,F_10_14,F_15_19,F_20_24,F_25_29,F_30_34,F_35_39,F_40_44,F_45_49,F_50_54,F_55_59,F_60_64,F_65_69,F_70_74,F_75_79,F_80Plus,M_00_04,M_05_09,M_10_14,M_15_19,M_20_24,M_25_29,M_30_34,M_35_39,M_40_44,M_45_49,M_50_54,M_55_59,M_60_64,M_65_69,M_70_74,M_75_79,M_80Plus,T_00_04,T_05_09,T_10_14,T_15_19,T_20_24,T_25_29,T_30_34,T_35_39,T_40_44,T_45_49,T_50_54,T_55_59,T_60_64,T_65_69,T_70_74,T_75_79,T_80Plus
2024,BEN,Benin,BJ,Borgou,BJ04,N'Dali,BJ0403,89740,94236,183976,18450,14412,10910,10036,8309,6628,5501,3980,3171,2565,1909,1120,1024,621,524,316,264,19045,14893,11611,9929,8698,7032,5523,4104,3541,2719,2412,1452,1219,737,731,367,223,37495,29305,22521,19965,17007,13660,11024,8084,6712,5284,4321,2572,2243,1358,1255,683,487
2024,BEN,Benin,BJ,Borgou,BJ04,Nikki,BJ0404,110270,111503,221773,24036,19305,13044,11988,10017,7939,6606,4171,3826,2524,2279,1169,1302,730,648,389,297,23853,19143,13976,11476,9774,8087,6508,4304,3665,2703,2714,1383,1412,910,867,439,289,47889,38448,27020,23464,19791,16026,13114,8475,7491,5227,4993,2552,2714,1640,1515,828,586
2024,BEN,Benin,BJ,Borgou,BJ04,Parakou,BJ0405,206763,211456,418219,31415,26295,26168,25433,23741,17029,13024,10967,8448,8361,5478,3998,2219,1967,1054,760,406,32853,25250,22790,24406,28977,20098,13688,10368,7883,8343,5551,4422,2447,2289,1047,769,275,64268,51545,48958,49839,52718,37127,26712,21335,16331,16704,11029,8420,4666,4256,2101,1529,681
2024,BEN,Benin,BJ,Borgou,BJ04,Perere,BJ0406,69722,69747,139469,16276,12221,7345,6804,6724,5481,4347,2663,2178,1556,1581,658,680,485,378,137,208,16370,12125,8184,6528,5678,5127,4179,2948,2254,1560,1572,771,907,549,578,211,206,32646,24346,15529,13332,12402,10608,8526,5611,4432,3116,3153,1429,1587,1034,956,348,414
2024,BEN,Benin,BJ,Borgou,BJ04,Sinende,BJ0407,63577,64162,127739,13210,10718,7925,7023,5849,4541,3881,2633,2086,1575,1296,722,788,466,471,242,151,13415,10943,8123,6612,5525,4836,3657,2742,2213,1762,1442,753,773,479,508,233,146,26625,21661,16048,13635,11374,9377,7538,5375,4299,3337,2738,1475,1561,945,979,475,297
2024,BEN,Benin,BJ,Borgou,BJ04,Tchaourou,BJ0408,220369,224389,444758,44945,37053,26129,23024,20425,16765,13919,9528,8577,5899,5061,2377,2484,1479,1293,799,612,45946,37598,28871,22161,19188,16151,13201,9637,8203,6324,5902,3276,2954,1812,1745,857,563,90891,74651,55000,45185,39613,32916,27120,19165,16780,12223,10963,5653,5438,3291,3038,1656,1175
2024,BEN,Benin,BJ,Collines,BJ05,Bante,BJ0501,68352,66620,134972,11165,9830,9266,7485,6131,5000,4399,3551,3007,2354,1884,1029,1134,897,598,401,221,11549,10072,9712,8385,6327,4971,3644,2779,2362,1904,1589,882,866,700,432,265,181,22714,19902,18978,15870,12458,9971,8043,6330,5369,4258,3473,1911,2000,1597,1030,666,402
2024,BEN,Benin,BJ,Collines,BJ05,Dassa-Zoume,BJ0502,66210,63046,129256,10857,9483,8583,6797,5599,4519,4005,3726,3001,2609,2109,1308,1207,983,615,454,355,11065,9606,8754,7362,5637,4075,3469,2852,2404,2152,1777,1032,1049,741,482,345,244,21922,19089,17337,14159,11236,8594,7474,6578,5405,4761,3886,2340,2256,1724,1097,799,599
2024,BEN,Benin,BJ,Collines,BJ05,Glazoue,BJ0503,83540,81451,164991,12527,11932,11652,9859,7409,5749,5030,4207,3679,3293,2492,1576,1395,1259,715,454,312,13486,12208,12146,10704,7999,5569,4153,3516,2875,2559,1929,1192,1047,935,542,360,231,26013,24140,23798,20563,15408,11318,9183,7723,6554,5852,4421,2768,2442,2194,1257,814,543
2024,BEN,Benin,BJ,Collines,BJ05,Ouesse,BJ0504,98631,101932,200563,15484,14475,13320,11439,9709,7594,6243,5026,4104,3429,2475,1424,1192,1132,778,525,282,16984,15418,14260,12938,10559,7618,5520,4171,3829,3129,2454,1398,1249,942,752,465,246,32468,29893,27580,24377,20268,15212,11763,9197,7933,6558,4929,2822,2441,2074,1530,990,528
